index,place,price,time,about_trip,emi
10,tamil nadu,"15,999","
                            3 NIGHTS
                        ","
	Greet and meet on arrival at Bangalore airport and proceed to Tirupati, on arrival Tirupati, check in hotel, refresh, and proceed for Darshan of Lord Venkateshwara and drive back to hotel overnight Tirupati
	 
	After breakfast check out hotel from Tirupati, and drive to Pondicherry, on the visit to Vellore, Vellore fort Museum,(Exhibits of ancient artefacts & costumes), Golden Temple, Sripuram  (Dramatic site in a large Spiritual Park), Kamakshi Amman temple, Ulagalantha Perumal’ temple later arrival at Pondicherry, Check in hotel, refresh and Overnight stay at Pondicherry
	
		
		 
		 
	 
	
		
			After breakfast check out hotel from Pondicherry and drive to chennai on the way visit to Mahabalipuram, arrival at Mahabalipuram and proceed to visit Five Rathas, Arjuna’s Penance, Krishna Mandapam, Shore temple, Beach, Later precede to Chennai, arrival at Chennai, get direct transfer to Chennai airport/railway station for your return journey to back home – end of the services
			 
	 "," 983
                            "
11,kufri,"28,199","
                            6 NIGHTS
                        ","
	The car will pick you up after you arrive at the airport/railway station and take you to Manali. 
	 
	In the morning, go on an adventurous drive up the Rohtang Pass. Return to the hotel in the 
	After breakfast, visit some local tourist attractions in Manali. Spend the evening at your leisure 
	After breakfast, drive from Manali to Kullu. Check-in at the hotel and spend the evening at your 
	 
	After breakfast, drive from Kullu to Shimla. Check-in at the hotel and spend the evening at your 
	Today after breakfast, go on a trip to Kufri. Return to the hotel in the afternoon. In the evening, 
	"," 1,733
                            "
12,lachung,"33,800","
                            8 NIGHTS
                        ","
	After breakfast pickup from your hotel at Gangtok and Transfer to Lachung (117Kms/6.5Hrs), en-route sightseeing at Singhik View point, Chumthang Valley, Twin Falls and Vima Falls. Evening free to explore the beautiful Himalayan village by your own. Overnight at Hotel.
	 
	Breakfast at the hotel and proceed for excursion to Mirik Lake. 
	Mirik Lake: It is newly started hill station in West Bengal and situated 48 kms west of Darjeeling near Nepal border with a facility of boating at Mirik lake which is 1.25 kms long, it is a semi-artificial lake. Drive from Darjeeling to Mirik is via natural forest & tea garden. The main tourist area, Krishna-Nagar, is south of the lake. A 10 minute walk takes you to Bokar Gompa, home to Mahayana monks. One can catch the sunrise and sunset from Rameetay Dara. Overnight at hotel"," 2,077
                            "
13,kufri,"18,099","
                            6 NIGHTS
                        ","
	After breakfast, drop at railway station/Airport for onward journey. 
	 "," 1,112
                            "
14,kufri,"21,099","
                            6 NIGHTS
                        ","
	The car will pick you up after you arrive at the airport/railway station and take you to Manali. 
	In the morning, go on an adventurous drive up the Rohtang Pass. Return to the hotel in the 
	After breakfast, visit some local tourist attractions in Manali. Spend the evening at your leisure 
	After breakfast, drive from Manali to Kullu. Check-in at the hotel and spend the evening at your 
	After breakfast, drive from Kullu to Shimla. Check-in at the hotel and spend the evening at your 
	 
	Today after breakfast, go on a trip to Kufri. Return to the hotel in the afternoon. In the evening, 
	 
	"," 1,296
                            "
15,cherrapunji,"26,999","
                            4 NIGHTS
                        ","
	Transfer from Guwahati airport/railway station to Shillong en-route visit Umium Lake.
	 
	Shillong became the first capital of the State of Meghalaya. Located in undulating pine covered hills, the city has a milder climate than tropical India. The city centre is 1496m above sea level and currently has a population of around 270,000. Home to several waterfalls, it is also known as the Scotland of the East. The British legacy is still visible in the architecture and food habits of the population. 
	 
	Overnight at Shillong
	 
	Breakfast at the hotel and proceed for full day sightseeing of Shillong.
	 
	Shillong - The ‘Gleneagle of the East’ lies in the centre of a plateau surrounded by  Khasi hills. The gorgeous city offers amazing tourist spots. The city’s own Ward’s Lake is popular for short garden walks & boating. The Botanical Garden offers plethora of indigenous and exotic plants & rare collection of orchids. Lady Hydari Park is a Japanese style landscaped park endowed with streaches of roses & exquisite flowers. The Mini zoo adjacent to the park has about 73 birds, 140 reptiles & mammals. One of the largest Golf courses in Asia is an 18 hole Golf Course is charted amidst a surging valley full of thick pine groves & rhododendron trees. Spend the evening in the splendid arena ! The State Museum is a display of the lifestyle and heritage of the people of Meghalaya. Shillong and its surrounding is dotted with splendid waterfalls cascading down deep valleys forming misty sparks as they break the silence of the surroundings. Elephant Falls is a mountain stream gorging down two successive falls set in dells of fern covered rocks. Shillong Peak offers a birds eye view of the entire city and valley.
	 
	Overnight at hotel.
	 
	Breakfast at the hotel and drive to Cherrapunjee.
	 
	Cherrapunji in Meghalaya is one of the wettest places on the planet and the only place in India to receive rain throughout the year. The town of Cherrapunji is nestled in the East Khasi Hills about 50 km southwest of the state’s capital, Shillong. Cherrapunji, also known as Sohra or Churra, means ‘the land of oranges’. The cliffs of Cherrapunji also offer stunning views of the plains of Bangladesh.
	 
	Visit to Seven Sister Falls, Nahkhalikai Falls, Mwasmai Cave, Koh Ram Hoh , eco – park.
	 
	Overnight at Cherrapunjee
	 
	After breakfast drive from Cherrapunjee to Guwahati
	 
	Afternoon visit Kamakhya temple - The temple is dedicated to goddess Kamakhya an incarnation of Sati. It is on Nilachal hill, says the Shiva Purana, that the yoni or creative organ of Sati fell when Vishnu, in a bid to save the world from the Shiva’s tandava nrittya or dance of destruction, cut her dead body into 51 pieces with his suddarshan chakra
	 
	After breakfast transfer to the airport/railway station in time for onward connection.
	 
	END OF SERVICES
	 "," 1,659
                            "
16,jammu,"20,963","
                            5 NIGHTS
                        ","
	Arrival early morning at Jammu and transfer to Katra (50 kms - 1.5 hrs). Check into hotel and process to Vaishnodevi Darshan, Please note : (Total 13 kms walk to the temple that takes about 4-5 hours). Enroute stops at Adhkwari Temple and darshan at Baba Bhaironath Temple is recommended). During Summer and peak travel season it may be advisable to start the climb previous evening. Once queue tickets are purchased the wait period could be half an hour to 3 hours depending on the rush. During season Yatra Parchi (entry tickets required to beging the uphill walk), it is recommended to purchase in advance to avoid delays. Guests looking for Helidarshan (Helicopter ride, darshan and back), morning flights are recommeded for best weather and least uncertainity. Return by late evening.
	After a delectable breakfast, check-out from the hotel and drive to Pahalgam.
	 
	Also known as the village of shepherds, Pahalgam attracts hordes of tourists owing to its gradually dropping temperature and the glistening river, Lidder flowing through here. Also, one of the best health resorts in the country, this astounding site is famous for its vast meadows, pine forests, pastures and a favourable weather. Its enthralling picturesque beauty is the reason behind some many Bollywood movies being shot here. 
	 
	After covering a distance of about 140 km, reach Pahalgam and check-in at the hotel and have a comfortable sleep in your room. 
	After Breakfast, Drive from Pahalgam to Gulmarg  drive gulmarg, en route visit Avantipur. 
	 
	Overlooked by river Jhelum, the town of Avantipur houses two temples that were almost ruined during medieval times. Dedicated to Lord Vishnu and Lord Shiva, these temples display intricate carvings and alluring sculptures along with an impressive architecture. Via Tangmarg Road, and after covering around 50 km, arrive at your destination. Post reaching here, transfer to the hotel and relax for some time. 
	 
	As serene and peaceful as it can get, Gulmarg is truly a fantasy for all. Gulmarg derived its name from the immense lushness of hills, full of colourful flowers, and is thus one of the most popular destinations in India. A wide expanse of panoramic surroundings, spectacular views and simplicity add solace to the omnipresent charm of this town.
	 
	You may go on a fun-filled gondola ride at your own expense that offers a thrilling view of fir-clad slopes. With the evening at your leisure, you may opt for a stroll through enchanting valleys, along mountain streams, and to the lakes in the area. 
	 
	Later, return to the hotel and retire to your room for some sound sleep.
	After breakfast transfer to Srinagar.
	 
	Srinagar, situated on the banks of river Jhelum, is the summer capital of Jammu and Kashmir. Its awe-inspiring landscape, magnificent architecture, tombs and temples, exquisite gardens and Dal Lake make it a heaven on earth. Surrounded by a number of lakes, this scenic city, serene in its own way, is also known as the Kashmiri Venice or the Venice of the East. Bestowing its old-world charm on tourists, Srinagar aces in natural beauty and historical significance.
	 
	Check into Hotel / Houseboat and day at leisure.
	Begin the excursion by paying homage at Shankaracharya Temple. Named after the great saint, Shankaracharya, this temple is situated atop Gopadari Hill and is a revered Hindu pilgrimage site. Dedicated to Lord Shiva, this spiritual place can be reached after climbing around a hundred steps. It stands strong in an octagonal structure, resembling the shape of a Shiva linga.
	 
	After this, journey to the Mughal Gardens and explore its unending beauty. With bright and colourful flowerbeds, gushing fountains and terraced lawns, the panoramic expanse of Mughal Gardens is beyond description.
	 
	After a jaunt to the astonishing sites of Srinagar, treat yourselves by indulging in some shopping at the bustling Lal Chowk. You can buy locally produced products, such as leather goods, embroidered mats and carpets, antique jewellery and the highly demanded Pashmina shawls.  
	 
	After spending some moments of relaxation, proceed to experience a soothing shikara ride. 
	 
	Unique in its own way, Dal Lake captures the sight of all with its ever-charming beauty and floating market. The pulsating surroundings of this lake make it even more peaceful and will also rejuvenate you completely. 
	 
	 
	Later, check-in at the Houseboat/ Hotel Followed by a hearty dinner, enjoy a pleasurable overnight stay."," 1,288
                            "
17,jammu,"19,425","
                            6 NIGHTS
                        ","
	Arrival early morning at Jammu and transfer to Katra (50 kms - 1.5 hrs). Check into hotel and process to Vaishnodevi Darshan, Please note :  (Total 13 kms walk to the temple that takes about 4-5 hours). Enroute stops at Adhkwari Temple and darshan at Baba Bhaironath Temple is recommended). During Summer and peak travel season it may be advisable to start the climb previous evening. Once queue tickets are purchased the wait period could be half an hour to 3 hours depending on the rush. During season Yatra Parchi (entry tickets required to beging the uphill walk), it is recommended to purchase in advance to avoid delays. Guests looking for Helidarshan (Helicopter ride, darshan and back), morning flights are recommeded for best weather and least uncertainity. Return by late evening.
	After a delectable breakfast, check-out from the hotel and drive to Pahalgam.
	 
	Also known as the village of shepherds, Pahalgam attracts hordes of tourists owing to its gradually dropping temperature and the glistening river, Lidder flowing through here. Also, one of the best health resorts in the country, this astounding site is famous for its vast meadows, pine forests, pastures and a favourable weather. Its enthralling picturesque beauty is the reason behind some many Bollywood movies being shot here. 
	 
	After covering a distance of about 140 km, reach Pahalgam and check-in at the hotel and have a comfortable sleep in your room. 
	After Breakfast, Drive from Pahalgam to Gulmarg  drive gulmarg, en route visit Avantipur. 
	 
	Overlooked by river Jhelum, the town of Avantipur houses two temples that were almost ruined during medieval times. Dedicated to Lord Vishnu and Lord Shiva, these temples display intricate carvings and alluring sculptures along with an impressive architecture. Via Tangmarg Road, and after covering around 50 km, arrive at your destination. Post reaching here, transfer to the hotel and relax for some time. 
	 
	As serene and peaceful as it can get, Gulmarg is truly a fantasy for all. Gulmarg derived its name from the immense lushness of hills, full of colourful flowers, and is thus one of the most popular destinations in India. A wide expanse of panoramic surroundings, spectacular views and simplicity add solace to the omnipresent charm of this town.
	 
	You may go on a fun-filled gondola ride at your own expense that offers a thrilling view of fir-clad slopes. With the evening at your leisure, you may opt for a stroll through enchanting valleys, along mountain streams, and to the lakes in the area. 
	 
	Later, return to the hotel and retire to your room for some sound sleep.
	After breakfast transfer to Srinagar
	 
	Srinagar, situated on the banks of river Jhelum, is the summer capital of Jammu and Kashmir. Its awe-inspiring landscape, magnificent architecture, tombs and temples, exquisite gardens and Dal Lake make it a heaven on earth. Surrounded by a number of lakes, this scenic city, serene in its own way, is also known as the Kashmiri Venice or the Venice of the East. Bestowing its old-world charm on tourists, Srinagar aces in natural beauty and historical significance.
	 
	Check into Hotel / Houseboat and day at leisure.
	Begin the excursion by paying homage at Shankaracharya Temple. Named after the great saint, Shankaracharya, this temple is situated atop Gopadari Hill and is a revered Hindu pilgrimage site. Dedicated to Lord Shiva, this spiritual place can be reached after climbing around a hundred steps. It stands strong in an octagonal structure, resembling the shape of a Shiva linga.
	 
	After this, journey to the Mughal Gardens and explore its unending beauty. With bright and colourful flowerbeds, gushing fountains and terraced lawns, the panoramic expanse of Mughal Gardens is beyond description.
	 
	After a jaunt to the astonishing sites of Srinagar, treat yourselves by indulging in some shopping at the bustling Lal Chowk. You can buy locally produced products, such as leather goods, embroidered mats and carpets, antique jewellery and the highly demanded Pashmina shawls.  
	 
	After spending some moments of relaxation, proceed to experience a soothing shikara ride. 
	 
	Unique in its own way, Dal Lake captures the sight of all with its ever-charming beauty and floating market. The pulsating surroundings of this lake make it even more peaceful and will also rejuvenate you completely. 
	 
	 
	Later, check-in at the Houseboat/ Hotel Followed by a hearty dinner, enjoy a pleasurable overnight stay."," 1,194
                            "
18,cherrapunji,"18,050","
                            4 NIGHTS
                        ","
	Transfer from Guwahati airport/railway station to Shillong en-route visit Umium Lake.
	 
	Shillong became the first capital of the State of Meghalaya. Located in undulating pine covered hills, the city has a milder climate than tropical India. The city centre is 1496m above sea level and currently has a population of around 270,000. Home to several waterfalls, it is also known as the Scotland of the East. The British legacy is still visible in the architecture and food habits of the population. 
	 
	Overnight at Shillong
	 
	
		Breakfast at the hotel and proceed for half day sightseeing of Shillong.
		 
		Shillong - The ‘Gleneagle of the East’ lies in the centre of a plateau surrounded by  Khasi hills. The gorgeous city offers amazing tourist spots. The city’s own Ward’s Lake is popular for short garden walks & boating. The Botanical Garden offers plethora of indigenous and exotic plants & rare collection of orchids. Lady Hydari Park is a Japanese style landscaped park endowed with streaches of roses & exquisite flowers. The Mini zoo adjacent to the park has about 73 birds, 140 reptiles & mammals. One of the largest Golf courses in Asia is an 18 hole Golf Course is charted amidst a surging valley full of thick pine groves & rhododendron trees. Spend the evening in the splendid arena ! The State Museum is a display of the lifestyle and heritage of the people of Meghalaya. Shillong and its surrounding is dotted with splendid waterfalls cascading down deep valleys forming misty sparks as they break the silence of the surroundings.
		Afternoon drive to Cherrapunjee, en-route visit Shillong Peak offers a birds eye view of the entire city and valley and Elephant Falls is a mountain stream gorging down two successive falls set in dells of fern covered rocks.
		 
		Cherrapunji in Meghalaya is one of the wettest places on the planet and the only place in India to receive rain throughout the year. The town of Cherrapunji is nestled in the East Khasi Hills about 50 km southwest of the state’s capital, Shillong. Cherrapunji, also known as Sohra or Churra, means ‘the land of oranges’. The cliffs of Cherrapunji also offer stunning views of the plains of Bangladesh.
		 
		Overnight at hotel.
		 
	 
	
		Breakfast at the hotel and proceed for sightseeing to Seven Sister Falls, Nahkhalikai Falls, Mwasmai Cave, Koh Ram Hoh , Eco – park and Double Decker Root Bridge(Starting point). 
		 
		Overnight at hotel.
	 
	
		After breakfast drive from Cherrapunjee to Myallynnong Village & Dawki(Indo-Bangladesh Border).
		 
		Mawlynnong Village located in the East Khasi Hills of Meghalaya, also referred as ‘God’s own garden’ has won the acclaim of being the cleanest village in Asia in 2003. The village known for its cleanliness is located around 90 kms from Shillong and is a community based eco-tourism initiative. The community has made collective effort to maintain the ambience of a clean village. The village offers picturesque natural beauty, a trek to the living root bridge at a neighbouring village Riwai. The village also offers a sight of natural balancing rock, a strange natural phenomenon of a boulder balancing on another rock.
		Also visit the Dawki border. Evening drive to Shillong.
		 
		Overnight at hotel.
		 
	 
	
		After breakfast drive from Shillong to Guwahati in time for onward connection.
		 
	 "," 1,109
                            "
19,jammu,"16,588","
                            5 NIGHTS
                        ","
	Arrival early morning at Jammu and transfer to Katra (50 kms - 1.5 hrs). Check into hotel and process to Vaishnodevi Darshan, Please note : (Total 13 kms walk to the temple that takes about 4-5 hours). Enroute stops at Adhkwari Temple and darshan at Baba Bhaironath Temple is recommended). During Summer and peak travel season it may be advisable to start the climb previous evening. Once queue tickets are purchased the wait period could be half an hour to 3 hours depending on the rush. During season Yatra Parchi (entry tickets required to beging the uphill walk), it is recommended to purchase in advance to avoid delays. Guests looking for Helidarshan (Helicopter ride, darshan and back), morning flights are recommeded for best weather and least uncertainity. Return by late evening.
	After a delectable breakfast, check-out from the hotel and drive to Pahalgam.
	 
	Also known as the village of shepherds, Pahalgam attracts hordes of tourists owing to its gradually dropping temperature and the glistening river, Lidder flowing through here. Also, one of the best health resorts in the country, this astounding site is famous for its vast meadows, pine forests, pastures and a favourable weather. Its enthralling picturesque beauty is the reason behind some many Bollywood movies being shot here. 
	 
	After covering a distance of about 140 km, reach Pahalgam and check-in at the hotel and have a comfortable sleep in your room. 
	After Breakfast, Drive from Pahalgam to Gulmarg  drive gulmarg, en route visit Avantipur. 
	 
	Overlooked by river Jhelum, the town of Avantipur houses two temples that were almost ruined during medieval times. Dedicated to Lord Vishnu and Lord Shiva, these temples display intricate carvings and alluring sculptures along with an impressive architecture. Via Tangmarg Road, and after covering around 50 km, arrive at your destination. Post reaching here, transfer to the hotel and relax for some time. 
	 
	As serene and peaceful as it can get, Gulmarg is truly a fantasy for all. Gulmarg derived its name from the immense lushness of hills, full of colourful flowers, and is thus one of the most popular destinations in India. A wide expanse of panoramic surroundings, spectacular views and simplicity add solace to the omnipresent charm of this town.
	 
	You may go on a fun-filled gondola ride at your own expense that offers a thrilling view of fir-clad slopes. With the evening at your leisure, you may opt for a stroll through enchanting valleys, along mountain streams, and to the lakes in the area. 
	 
	Later, return to the hotel and retire to your room for some sound sleep.
	After breakfast transfer to Srinagar.
	 
	Srinagar, situated on the banks of river Jhelum, is the summer capital of Jammu and Kashmir. Its awe-inspiring landscape, magnificent architecture, tombs and temples, exquisite gardens and Dal Lake make it a heaven on earth. Surrounded by a number of lakes, this scenic city, serene in its own way, is also known as the Kashmiri Venice or the Venice of the East. Bestowing its old-world charm on tourists, Srinagar aces in natural beauty and historical significance.
	 
	Check into Hotel / Houseboat and day at leisure.
	Begin the excursion by paying homage at Shankaracharya Temple. Named after the great saint, Shankaracharya, this temple is situated atop Gopadari Hill and is a revered Hindu pilgrimage site. Dedicated to Lord Shiva, this spiritual place can be reached after climbing around a hundred steps. It stands strong in an octagonal structure, resembling the shape of a Shiva linga.
	 
	After this, journey to the Mughal Gardens and explore its unending beauty. With bright and colourful flowerbeds, gushing fountains and terraced lawns, the panoramic expanse of Mughal Gardens is beyond description.
	 
	After a jaunt to the astonishing sites of Srinagar, treat yourselves by indulging in some shopping at the bustling Lal Chowk. You can buy locally produced products, such as leather goods, embroidered mats and carpets, antique jewellery and the highly demanded Pashmina shawls.  
	 
	After spending some moments of relaxation, proceed to experience a soothing shikara ride. 
	 
	Unique in its own way, Dal Lake captures the sight of all with its ever-charming beauty and floating market. The pulsating surroundings of this lake make it even more peaceful and will also rejuvenate you completely. 
	 
	Later, check-in at the Houseboat/ Hotel Followed by a hearty dinner, enjoy a pleasurable overnight stay."," 1,019
                            "
20,meghalaya,"15,000","
                            3 NIGHTS
                        ","
	
		Transfer from Guwahati airport/railway station to Shillong en route visit Umium Lake.
		 
		Shillong became the first capital of the State of Meghalaya. Located in undulating pine covered hills, the city has a milder climate than tropical India. The city centre is 1496m above sea level and currently has a population of around 270,000. Home to several waterfalls, it is also known as the Scotland of the East. The British legacy is still visible in the architecture and food habits of the population. 
		 
		Overnight at Shillong.
	
		Breakfast at the hotel and proceed for full day sightseeing of Shillong.
		 
		Shillong - The ‘Gleneagle of the East’ lies in the centre of a plateau surrounded by  Khasi hills. The gorgeous city offers amazing tourist spots. The city’s own Ward’s Lake is popular for short garden walks & boating. The Botanical Garden offers plethora of indigenous and exotic plants & rare collection of orchids. Lady Hydari Park is a Japanese style landscaped park endowed with streaches of roses & exquisite flowers. The Mini zoo adjacent to the park has about 73 birds, 140 reptiles & mammals. One of the largest Golf courses in Asia is an 18 hole Golf Course is charted amidst a surging valley full of thick pine groves & rhododendron trees. Spend the evening in the splendid arena ! The State Museum is a display of the lifestyle and heritage of the people of Meghalaya. Shillong and its surrounding is dotted with splendid waterfalls cascading down deep valleys forming misty sparks as they break the silence of the surroundings. Elephant Falls is a mountain stream gorging down two successive falls set in dells of fern covered rocks. Shillong Peak offers a birds eye view of the entire city and valley.
		 
		Overnight at hotel.
		 
	
		
			After breakfast drive from Shillong to Guwahati in time for onward connection.
			END OF SERVICES
			 
		 "," 922
                            "
21,bikaner,"19,200","
                            5 NIGHTS
                        ","
	
		Your exciting tour of the desert cities begins at the bright and sunny Jodhpur. On reaching here, head to 
		
	
		On this day, get set to explore the magnificent Umaid Bhawan Palace, a huge private residence of the 
		
	
		On this day, embark on a breath-taking journey in the beautiful Golden City – Jaisalmer. On arrival, 
		
	
		Buckle up and get set for some fun time as you visit the Gadisar Lake. In earlier times, this man-made 
		
	
		After arriving in Bikaner, check in at the hotel. Get started at the famous Junagarh Fort that houses 
		 
	Your enchanting tour ends today. Check out from the hotel and proceed for Jodhpur via road. Head to "," 1,180
                            "
